PLL,invmoves,cross_color,TruncatedCaseURL
Aa,R'D'RUR'DRUR'D'RU2R'DR,white,visualcube.php?size=175&case=R\'D\'RU2\'R\'DRU\'R\'D\'RU\'R\'DR
Aa,x'R'D'RUR'DRUR'D'RU2R'DR,blue,visualcube.php?size=175&case=R\'D\'RU2\'R\'DRU\'R\'D\'RU\'R\'DRx
Aa,x2'R'D'RUR'DRUR'D'RU2R'DR,yellow,visualcube.php?size=175&case=R\'D\'RU2\'R\'DRU\'R\'D\'RU\'R\'DRx2
Aa,xR'D'RUR'DRUR'D'RU2R'DR,green,visualcube.php?size=175&case=R\'D\'RU2\'R\'DRU\'R\'D\'RU\'R\'DRx\'
Aa,z'R'D'RUR'DRUR'D'RU2R'DR,orange,visualcube.php?size=175&case=R\'D\'RU2\'R\'DRU\'R\'D\'RU\'R\'DRz
Aa,zR'D'RUR'DRUR'D'RU2R'DR,red,visualcube.php?size=175&case=R\'D\'RU2\'R\'DRU\'R\'D\'RU\'R\'DRz\'
Aa,y'R'D'RUR'DRUR'D'RU2R'DR,white,visualcube.php?size=175&case=R\'D\'RU2\'R\'DRU\'R\'D\'RU\'R\'DRy
Aa,x'y'R'D'RUR'DRUR'D'RU2R'DR,blue,visualcube.php?size=175&case=R\'D\'RU2\'R\'DRU\'R\'D\'RU\'R\'DRyx
Aa,x2'y'R'D'RUR'DRUR'D'RU2R'DR,yellow,visualcube.php?size=175&case=R\'D\'RU2\'R\'DRU\'R\'D\'RU\'R\'DRyx2
Aa,xy'R'D'RUR'DRUR'D'RU2R'DR,green,visualcube.php?size=175&case=R\'D\'RU2\'R\'DRU\'R\'D\'RU\'R\'DRyx\'
Aa,z'y'R'D'RUR'DRUR'D'RU2R'DR,orange,visualcube.php?size=175&case=R\'D\'RU2\'R\'DRU\'R\'D\'RU\'R\'DRyz
Aa,zy'R'D'RUR'DRUR'D'RU2R'DR,red,visualcube.php?size=175&case=R\'D\'RU2\'R\'DRU\'R\'D\'RU\'R\'DRyz\'
Aa,y2'R'D'RUR'DRUR'D'RU2R'DR,white,visualcube.php?size=175&case=R\'D\'RU2\'R\'DRU\'R\'D\'RU\'R\'DRy2
Aa,x'y2'R'D'RUR'DRUR'D'RU2R'DR,blue,visualcube.php?size=175&case=R\'D\'RU2\'R\'DRU\'R\'D\'RU\'R\'DRy2x
Aa,x2'y2'R'D'RUR'DRUR'D'RU2R'DR,yellow,visualcube.php?size=175&case=R\'D\'RU2\'R\'DRU\'R\'D\'RU\'R\'DRy2x2
Aa,xy2'R'D'RUR'DRUR'D'RU2R'DR,green,visualcube.php?size=175&case=R\'D\'RU2\'R\'DRU\'R\'D\'RU\'R\'DRy2x\'
Aa,z'y2'R'D'RUR'DRUR'D'RU2R'DR,orange,visualcube.php?size=175&case=R\'D\'RU2\'R\'DRU\'R\'D\'RU\'R\'DRy2z
Aa,zy2'R'D'RUR'DRUR'D'RU2R'DR,red,visualcube.php?size=175&case=R\'D\'RU2\'R\'DRU\'R\'D\'RU\'R\'DRy2z\'
Aa,yR'D'RUR'DRUR'D'RU2R'DR,white,visualcube.php?size=175&case=R\'D\'RU2\'R\'DRU\'R\'D\'RU\'R\'DRy\'
Aa,x'yR'D'RUR'DRUR'D'RU2R'DR,blue,visualcube.php?size=175&case=R\'D\'RU2\'R\'DRU\'R\'D\'RU\'R\'DRy\'x
Aa,x2'yR'D'RUR'DRUR'D'RU2R'DR,yellow,visualcube.php?size=175&case=R\'D\'RU2\'R\'DRU\'R\'D\'RU\'R\'DRy\'x2
Aa,xyR'D'RUR'DRUR'D'RU2R'DR,green,visualcube.php?size=175&case=R\'D\'RU2\'R\'DRU\'R\'D\'RU\'R\'DRy\'x\'
Aa,z'yR'D'RUR'DRUR'D'RU2R'DR,orange,visualcube.php?size=175&case=R\'D\'RU2\'R\'DRU\'R\'D\'RU\'R\'DRy\'z
Aa,zyR'D'RUR'DRUR'D'RU2R'DR,red,visualcube.php?size=175&case=R\'D\'RU2\'R\'DRU\'R\'D\'RU\'R\'DRy\'z\'
Aa,R'D'RUR'DRUR'D'RU2R'DRU',white,visualcube.php?size=175&case=UR\'D\'RU2\'R\'DRU\'R\'D\'RU\'R\'DR
Aa,x'R'D'RUR'DRUR'D'RU2R'DRU',blue,visualcube.php?size=175&case=UR\'D\'RU2\'R\'DRU\'R\'D\'RU\'R\'DRx
Aa,x2'R'D'RUR'DRUR'D'RU2R'DRU',yellow,visualcube.php?size=175&case=UR\'D\'RU2\'R\'DRU\'R\'D\'RU\'R\'DRx2
Aa,xR'D'RUR'DRUR'D'RU2R'DRU',green,visualcube.php?size=175&case=UR\'D\'RU2\'R\'DRU\'R\'D\'RU\'R\'DRx\'
Aa,z'R'D'RUR'DRUR'D'RU2R'DRU',orange,visualcube.php?size=175&case=UR\'D\'RU2\'R\'DRU\'R\'D\'RU\'R\'DRz
Aa,zR'D'RUR'DRUR'D'RU2R'DRU',red,visualcube.php?size=175&case=UR\'D\'RU2\'R\'DRU\'R\'D\'RU\'R\'DRz\'
Aa,y'R'D'RUR'DRUR'D'RU2R'DRU',white,visualcube.php?size=175&case=UR\'D\'RU2\'R\'DRU\'R\'D\'RU\'R\'DRy
Aa,x'y'R'D'RUR'DRUR'D'RU2R'DRU',blue,visualcube.php?size=175&case=UR\'D\'RU2\'R\'DRU\'R\'D\'RU\'R\'DRyx
Aa,x2'y'R'D'RUR'DRUR'D'RU2R'DRU',yellow,visualcube.php?size=175&case=UR\'D\'RU2\'R\'DRU\'R\'D\'RU\'R\'DRyx2
Aa,xy'R'D'RUR'DRUR'D'RU2R'DRU',green,visualcube.php?size=175&case=UR\'D\'RU2\'R\'DRU\'R\'D\'RU\'R\'DRyx\'
Aa,z'y'R'D'RUR'DRUR'D'RU2R'DRU',orange,visualcube.php?size=175&case=UR\'D\'RU2\'R\'DRU\'R\'D\'RU\'R\'DRyz
Aa,zy'R'D'RUR'DRUR'D'RU2R'DRU',red,visualcube.php?size=175&case=UR\'D\'RU2\'R\'DRU\'R\'D\'RU\'R\'DRyz\'
Aa,y2'R'D'RUR'DRUR'D'RU2R'DRU',white,visualcube.php?size=175&case=UR\'D\'RU2\'R\'DRU\'R\'D\'RU\'R\'DRy2
Aa,x'y2'R'D'RUR'DRUR'D'RU2R'DRU',blue,visualcube.php?size=175&case=UR\'D\'RU2\'R\'DRU\'R\'D\'RU\'R\'DRy2x
Aa,x2'y2'R'D'RUR'DRUR'D'RU2R'DRU',yellow,visualcube.php?size=175&case=UR\'D\'RU2\'R\'DRU\'R\'D\'RU\'R\'DRy2x2
Aa,xy2'R'D'RUR'DRUR'D'RU2R'DRU',green,visualcube.php?size=175&case=UR\'D\'RU2\'R\'DRU\'R\'D\'RU\'R\'DRy2x\'
Aa,z'y2'R'D'RUR'DRUR'D'RU2R'DRU',orange,visualcube.php?size=175&case=UR\'D\'RU2\'R\'DRU\'R\'D\'RU\'R\'DRy2z
Aa,zy2'R'D'RUR'DRUR'D'RU2R'DRU',red,visualcube.php?size=175&case=UR\'D\'RU2\'R\'DRU\'R\'D\'RU\'R\'DRy2z\'
